Year,Size,Acc_type,Acc_value
Training_sample_huadong_2005_2007,25.00,acc_RF,0.9618077657542966
Training_sample_huadong_2005_2007,30.00,acc_test,0.9114285714285715
Training_sample_huadong_2005_2007,30.00,acc_RF,0.9554612937433722
Training_sample_huadong_2005_2007,35.00,acc_test,0.9135714285714286
Training_sample_huadong_2005_2007,35.00,acc_RF,0.9540909090909091
Training_sample_huadong_2005_2007,40.00,acc_test,0.9192857142857143
Training_sample_huadong_2005_2007,40.00,acc_RF,0.95266507557677
Training_sample_huadong_2005_2007,45.00,acc_test,0.9278571428571428
Training_sample_huadong_2005_2007,45.00,acc_RF,0.9565217391304348
Training_sample_huadong_2005_2007,5.00,acc_test,0.9078571428571428
Training_sample_huadong_2005_2007,5.00,acc_RF,0.9394904458598726
Training_sample_huadong_2005_2007,50.00,acc_test,0.9228571428571428
Training_sample_huadong_2005_2007,50.00,acc_RF,0.9580019090041362
Training_sample_huadong_2005_2007,55.00,acc_test,0.9271428571428572
Training_sample_huadong_2005_2007,55.00,acc_RF,0.9548741683540642
Training_sample_huadong_2005_2007,60.00,acc_test,0.9271428571428572
Training_sample_huadong_2005_2007,60.00,acc_RF,0.9581124072110286
Training_sample_huadong_2005_2007,65.00,acc_test,0.9292857142857143
Training_sample_huadong_2005_2007,65.00,acc_RF,0.9620655898188938
Training_sample_huadong_2005_2007,70.00,acc_test,0.9314285714285714
Training_sample_huadong_2005_2007,70.00,acc_RF,0.9590909090909091
Training_sample_huadong_2005_2007,75.00,acc_test,0.9278571428571428
Training_sample_huadong_2005_2007,75.00,acc_RF,0.9609756097560975
Training_sample_huadong_2005_2007,80.00,acc_test,0.93
Training_sample_huadong_2005_2007,80.00,acc_RF,0.9598329687810698
Training_sample_huadong_2005_2007,85.00,acc_test,0.9314285714285714
Training_sample_huadong_2005_2007,85.00,acc_RF,0.9606962380685008
Training_sample_huadong_2005_2007,90.00,acc_test,0.93
Training_sample_huadong_2005_2007,90.00,acc_RF,0.9589961117002475
